Date,Description,Amount,Type
2024-01-15,PAYROLL DEPOSIT ACME CORP,2500.00,Credit
2024-01-15,STARBUCKS #1234 WINNIPEG MB,-4.75,Debit
2024-01-16,RENT PAYMENT - PROPERTY MGMT,-1200.00,Debit
2024-01-17,SUPERSTORE #567 WINNIPEG MB,-89.45,Debit
2024-01-18,UBER EATS WINNIPEG MB,-18.50,Debit
2024-01-19,SHELL GAS STATION #890 MB,-45.20,Debit
2024-01-20,NETFLIX SUBSCRIPTION,-15.99,Debit
2024-01-21,STARBUCKS #1234 WINNIPEG MB,-4.75,Debit
2024-01-22,AMAZON.CA PURCHASE,-67.89,Debit
2024-01-23,COSTCO WHOLESALE WINNIPEG MB,-112.30,Debit
2024-01-24,UBER WINNIPEG MB,-12.50,Debit
2024-01-25,STARBUCKS #1234 WINNIPEG MB,-4.75,Debit
2024-01-26,BOSTON PIZZA WINNIPEG MB,-89.50,Debit
2024-01-27,GOODLIFE FITNESS MEMBERSHIP,-49.99,Debit
2024-01-28,STARBUCKS #1234 WINNIPEG MB,-4.75,Debit
2024-01-29,BELL MOBILITY BILL PAYMENT,-85.00,Debit
2024-01-30,SAFEWAY #234 WINNIPEG MB,-95.67,Debit
2024-01-31,STARBUCKS #1234 WINNIPEG MB,-4.75,Debit
2024-02-01,PAYROLL DEPOSIT ACME CORP,2500.00,Credit
2024-02-02,RENT PAYMENT - PROPERTY MGMT,-1200.00,Debit
2024-02-03,SUPERSTORE #567 WINNIPEG MB,-78.90,Debit
2024-02-04,STARBUCKS #1234 WINNIPEG MB,-4.75,Debit
2024-02-05,PETRO CANADA #456 WINNIPEG MB,-52.10,Debit
2024-02-06,SPOTIFY PREMIUM,-9.99,Debit
2024-02-07,STARBUCKS #1234 WINNIPEG MB,-4.75,Debit
2024-02-08,AMAZON.CA PURCHASE,-145.67,Debit
2024-02-09,SOBEYS #678 WINNIPEG MB,-87.45,Debit
2024-02-10,UBER WINNIPEG MB,-18.75,Debit
