Date,Description,Amount,Category
2024-01-15,Salary Deposit,3500.00,Income
2024-01-16,Rent Payment,-1200.00,Housing
2024-01-17,Grocery Store - Walmart,-89.45,Food & Dining
2024-01-18,Starbucks Coffee,-5.75,Food & Dining
2024-01-19,Gas Station - Shell,-45.20,Transportation
2024-01-20,Netflix Subscription,-15.99,Entertainment
2024-01-21,Starbucks Coffee,-5.75,Food & Dining
2024-01-22,Amazon Purchase,-67.89,Shopping
2024-01-23,Grocery Store - Safeway,-112.30,Food & Dining
2024-01-24,Uber Ride,-12.50,Transportation
2024-01-25,Starbucks Coffee,-5.75,Food & Dining
2024-01-26,Restaurant - Olive Garden,-89.50,Food & Dining
2024-01-27,Gym Membership,-49.99,Health & Fitness
2024-01-28,Starbucks Coffee,-5.75,Food & Dining
2024-01-29,Phone Bill - Verizon,-85.00,Utilities
2024-01-30,Grocery Store - Walmart,-95.67,Food & Dining
2024-01-31,Starbucks Coffee,-5.75,Food & Dining
2024-02-01,Salary Deposit,3500.00,Income
2024-02-02,Rent Payment,-1200.00,Housing
2024-02-03,Grocery Store - Walmart,-78.90,Food & Dining
2024-02-04,Starbucks Coffee,-5.75,Food & Dining
2024-02-05,Gas Station - BP,-52.10,Transportation
2024-02-06,Spotify Premium,-9.99,Entertainment
2024-02-07,Starbucks Coffee,-5.75,Food & Dining
2024-02-08,Amazon Purchase,-145.67,Shopping
2024-02-09,Grocery Store - Kroger,-87.45,Food & Dining
2024-02-10,Uber Ride,-18.75,Transportation
2024-02-11,Starbucks Coffee,-5.75,Food & Dining
2024-02-12,Restaurant - Chipotle,-23.90,Food & Dining
2024-02-13,Electric Bill,-125.45,Utilities
2024-02-14,Valentine's Day Dinner,-165.00,Food & Dining
2024-02-15,Starbucks Coffee,-5.75,Food & Dining
2024-02-16,Grocery Store - Walmart,-102.34,Food & Dining
2024-02-17,Starbucks Coffee,-5.75,Food & Dining
2024-02-18,Movie Theater,-28.50,Entertainment
2024-02-19,Gas Station - Shell,-48.90,Transportation
2024-02-20,Starbucks Coffee,-5.75,Food & Dining
2024-02-21,Amazon Purchase,-78.90,Shopping
2024-02-22,Grocery Store - Safeway,-89.67,Food & Dining
2024-02-23,Starbucks Coffee,-5.75,Food & Dining
2024-02-24,Restaurant - Subway,-12.45,Food & Dining
2024-02-25,Starbucks Coffee,-5.75,Food & Dining
2024-02-26,Uber Ride,-15.20,Transportation
2024-02-27,Grocery Store - Walmart,-95.78,Food & Dining
2024-02-28,Starbucks Coffee,-5.75,Food & Dining
2024-03-01,Salary Deposit,3500.00,Income
2024-03-02,Rent Payment,-1200.00,Housing
2024-03-03,Grocery Store - Walmart,-456.78,Food & Dining
